level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	9	1	1	63	2161	388	37	41.224121	Laffy'SavesAceBy
5	1	1	9	1	2	482	2166	48	31	90.455963	Using
5	1	1	9	1	3	573	2172	7	13	20.830917	@
5	1	1	9	1	4	640	2169	31	33	35.631050	#3.
5	1	1	9	1	5	686	2169	130	33	84.796616	BONITA
4	1	1	9	2	0	62	2210	826	49	-1	
5	1	1	9	2	1	62	2215	88	32	96.298470	Gear
5	1	1	9	2	2	162	2216	20	31	92.985413	5
5	1	1	9	2	3	201	2210	38	25	0.000000	@9
5	1	1	9	2	4	253	2210	38	25	85.050392	@
5	1	1	9	2	5	310	2215	194	40	91.950447	#onepiece
5	1	1	9	2	6	518	2214	61	32	65.694382	#1...
5	1	1	9	2	7	639	2224	32	33	48.228527	Ju
5	1	1	9	2	8	686	2224	83	35	69.365669	HIGH
5	1	1	9	2	9	782	2224	106	33	69.365669	ONME
4	1	1	9	3	0	63	2279	825	33	-1	
5	1	1	9	3	1	63	2283	76	27	92.257866	1.3M
5	1	1	9	3	2	151	2283	88	27	95.420868	views
5	1	1	9	3	3	640	2279	31	33	93.204376	5.
5	1	1	9	3	4	685	2279	86	33	90.990768	JATT
5	1	1	9	3	5	782	2279	106	33	0.000000	MEHK!
3	1	1	10	0	0	43	2381	773	89	-1	
4	1	1	10	1	0	171	2381	219	35	-1	
5	1	1	10	1	1	79	2392	28	21	4.033142	<»
5	1	1	10	1	2	171	2381	219	35	87.183807	lootera_007
4	1	1	10	2	0	75	2396	741	74	-1	
5	1	1	10	2	1	75	2400	40	54	0.000000	e
5	1	1	10	2	2	171	2445	10	25	96.182632	1
5	1	1	10	2	3	758	2396	58	69	64.319687	RD)
3	1	1	11	0	0	95	2451	1040	182	-1	
4	1	1	11	1	0	198	2451	936	41	-1	
5	1	1	11	1	1	198	2451	65	26	96.222626	year
5	1	1	11	1	2	279	2451	54	26	96.222626	ago
5	1	1	11	1	3	1071	2465	63	27	48.552826	_
4	1	1	11	2	0	1071	2497	64	37	-1	
5	1	1	11	2	1	1071	2497	64	37	20.642097	-”
4	1	1	11	3	0	95	2549	828	84	-1	
5	1	1	11	3	1	95	2549	62	60	0.000000	ff
5	1	1	11	3	2	353	2551	50	62	65.215485	38
5	1	1	11	3	3	607	2581	46	46	96.951096	+
5	1	1	11	3	4	920	2630	3	3	45.342537	|
3	1	1	12	0	0	88	2626	1069	36	-1	
4	1	1	12	1	0	88	2626	1069	36	-1	
5	1	1	12	1	1	88	2631	77	21	96.968712	Home
5	1	1	12	1	2	336	2626	86	36	95.797752	Shorts
5	1	1	12	1	3	792	2626	181	36	96.712021	Subscriptions
5	1	1	12	1	4	1110	2631	47	21	96.853134	You
3	1	1	13	0	0	250	2714	769	45	-1	
4	1	1	13	1	0	250	2714	769	45	-1	
5	1	1	13	1	1	250	2714	30	45	92.788261	<
5	1	1	13	1	2	967	2719	52	39	94.153358	=
